artist,release,genre,title,year,duration,createdAt,updatedAt
22-20s,22-20s,blues-rock,Hold On,2004,317.00,9/4/2020 23:37,9/4/2020 23:37
3 Doors Down,Seventeen Days,post-grunge,Here Without You,2002,232.00,9/4/2020 23:37,9/4/2020 23:37
3 Doors Down,Here Without You,post-grunge,It's Not Me,2003,230.00,9/4/2020 23:37,9/4/2020 23:37
30 Seconds To Mars,30 Seconds To Mars,rock,Year Zero,2002,472.00,9/4/2020 23:37,9/4/2020 23:37
30 Seconds To Mars,30 Seconds To Mars,rock,The Mission,2002,245.00,9/4/2020 23:37,9/4/2020 23:37
30 Seconds To Mars,A Beautiful Lie + 30 Seconds To Mars,rock,End Of The Beginning,2002,277.00,9/4/2020 23:37,9/4/2020 23:37
30 Seconds To Mars,A Beautiful Lie,rock,Hunter,2005,234.00,9/4/2020 23:37,9/4/2020 23:37
A Skylit Drive,She Watched The Sky,progressive metal,Ability To Create A War,2007,88.00,9/4/2020 23:37,9/4/2020 23:37
A Tribe Called Quest,The Best Of,jazz rap,Scenario,1991,251.00,9/4/2020 23:37,9/4/2020 23:37
A Tribe Called Quest,The Best Of,jazz rap,Like It Like That,1998,166.00,9/4/2020 23:37,9/4/2020 23:37
Aerosmith,Big Ones,blues-rock,Janie's Got A Gun,1989,329.00,9/4/2020 23:37,9/4/2020 23:37
AFI,DECEMBERUNDERGROUND,post-hardcore,Summer Shudder,2006,187.00,9/4/2020 23:37,9/4/2020 23:37
AFI,DECEMBERUNDERGROUND,post-hardcore,Affliction,2006,328.00,9/4/2020 23:37,9/4/2020 23:37
AFI,Crash Love,post-hardcore,Too Shy To Scream,2009,176.00,9/4/2020 23:37,9/4/2020 23:37
AFI,Crash Love,post-hardcore,Darling_ I Want To Destroy You,2009,223.00,9/4/2020 23:37,9/4/2020 23:37
Agnostic Front,Another Voice,hardcore punk,No One Hears You,2004,98.00,9/4/2020 23:37,9/4/2020 23:37
Agnostic Front,Warriors,hardcore punk,Come Alive,2007,122.00,9/4/2020 23:37,9/4/2020 23:37
Aiden,Conviction,post-hardcore,She Will Love You (Album Version),2007,258.00,9/4/2020 23:37,9/4/2020 23:37
Aiden,Knives [Clean],post-hardcore,Killing Machine,2009,140.00,9/4/2020 23:37,9/4/2020 23:37
Aiden,Knives,post-hardcore,Black Market Hell,2009,759.00,9/4/2020 23:37,9/4/2020 23:37
Akon,Don't Matter,hip hop,Don't Matter,2006,249.00,9/4/2020 23:37,9/4/2020 23:37
Alexander O'Neal,Alex Loves...,dance pop,Saturday Love,2008,301.00,9/4/2020 23:37,9/4/2020 23:37
Alice In Chains,Jar of flies / Facelift / Dirt,grunge,Sickman,1992,329.00,9/4/2020 23:37,9/4/2020 23:37
